=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.22 14:45:08 =~=~=~=~=~=~=~=~=~=~=~=
imu_seq,baro_seq,timestamp_us,roll_deg,pitch_deg,yaw_deg,heading_deg,altitude_m,raw_altitude_m,climb_rate_mps,pressure_pa,temperature_c,comp_altitude_m,comp_climb_rate_mps,comp_accel_up_mss,accel_x_mss,accel_y_mss,accel_z_mss,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_ut,mag_y_ut,mag_z_ut,linacc_x_mss,linacc_y_mss,linacc_z_mss,grav_x_mss,grav_y_mss,grav_z_mss,calib_sys,calib_gyro,calib_accel,calib_mag,imu_valid,baro_valid
[IMU] BNO055 axis_map=0x24 sign_x=0 sign_y=0 sign_z=0
[SETUP] Baro PROM: C1=39189 C2=35799 C3=24633 C4=24872 C5=35093 C6=27857
[SETUP] Airspeed init failed -- check wiring/I2C address
[SETUP] SD card init failed -- check the card is inserted
4,1,10730652,4.375,-5.375,29.438,29.438,0.061,0.339,0.000,99977.33,35.74,-0.016,-0.722,-19.5449,0.0000,0.2600,9.7900,0.0625,-0.1250,0.0625,20.0625,-32.5625,26.7500,-0.0500,0.0500,-0.0100,0.0600,0.1900,9.8000,3,3,3,3,1,1
16,5,10850068,4.375,-5.375,29.438,29.438,-0.184,-0.691,0.000,99989.54,35.91,-0.263,-3.057,-19.5352,0.0100,0.2500,9.7800,-0.0625,0.1250,-0.0625,20.5000,-32.8750,27.1875,-0.0400,0.0300,0.0000,0.0600,0.1900,9.8000,3,3,3,3,1,1
28,9,10970583,4.375,-5.375,29.438,29.438,-0.480,-0.976,-2.341,99992.91,36.03,-0.814,-5.418,-19.5327,0.0000,0.2300,9.7800,0.0000,-0.0625,0.0000,19.7500,-33.6875,25.8750,-0.0500,0.0400,0.0000,0.0600,0.1900,9.8000,3,3,3,3,1,1
6169,2051,72922832,4.375,-5.375,26.625,26.625,-0.566,-0.233,0.999,99984.11,36.16,-97.161,-97.531,-19.5243,0.0000,0.2500,9.7700,-0.0625,-0.1250,0.1875,16.3750,-32.8750,21.3750,-0.0500,0.0400,-0.0300,0.0600,0.1900,9.8000,3,3,3,0,1,1
6181,2055,73042902,4.375,-5.375,26.625,26.625,-0.561,-0.917,0.229,99992.22,36.15,-97.158,-97.529,-19.5541,0.0000,0.2500,9.8000,0.0000,0.0625,-0.0625,16.7500,-33.2500,19.3750,-0.0500,0.0400,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6193,2059,73162950,4.375,-5.375,26.625,26.625,-0.491,-0.494,0.773,99987.20,36.16,-97.161,-97.530,-19.5526,0.0000,0.2300,9.8000,-0.0625,-0.0625,0.0000,16.3750,-34.0625,19.7500,-0.0500,0.0200,-0.0300,0.0600,0.1900,9.8000,3,3,3,0,1,1
6205,2063,73283139,4.375,-5.375,26.625,26.625,-0.348,-0.081,0.559,99982.30,36.16,-97.144,-97.526,-19.5436,0.0100,0.2300,9.7900,0.0000,-0.0625,0.0625,16.7500,-33.6875,19.7500,-0.0300,0.0400,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6217,2067,73403049,4.375,-5.375,26.625,26.625,-0.300,-1.234,1.291,99995.98,36.17,-97.090,-97.515,-19.5717,0.0000,0.2200,9.8200,0.0000,0.1875,-0.0625,16.7500,-34.0625,20.5625,-0.0800,0.0500,0.0200,0.0600,0.1900,9.8000,3,3,3,0,1,1
6229,2071,73523570,4.375,-5.375,26.625,26.625,-0.523,-1.161,-2.550,99995.12,36.17,-97.144,-97.526,-19.5335,0.0000,0.2400,9.7800,0.0000,-0.1250,0.0000,16.7500,-33.2500,20.5625,-0.0600,0.0300,-0.0300,0.0600,0.1900,9.8000,3,3,3,0,1,1
6241,2075,73642907,4.375,-5.375,26.625,26.625,-0.047,-0.542,4.094,99987.77,36.18,-97.040,-97.505,-19.5327,0.0000,0.2300,9.7800,0.0000,-0.0625,-0.0625,16.0000,-32.8750,19.7500,-0.0700,0.0400,0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6253,2079,73763712,4.375,-5.375,26.625,26.625,-0.330,-0.797,-1.914,99990.80,36.18,-97.074,-97.512,-19.5534,0.0000,0.2400,9.8000,-0.0625,0.0625,0.0625,16.3750,-33.2500,20.5625,-0.0400,0.0500,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6262,2082,73863303,4.375,-5.375,26.625,26.625,-0.183,0.378,-0.876,99976.88,36.16,-97.067,-97.511,-19.5127,-0.0100,0.2400,9.7600,0.0625,0.1250,0.0625,16.0000,-32.8750,20.1875,-0.0700,0.0300,-0.0400,0.0600,0.1900,9.8000,3,3,3,0,1,1
6274,2086,73984013,4.375,-5.375,26.625,26.625,-0.043,1.418,1.261,99964.55,36.16,-97.049,-97.506,-19.5221,0.0000,0.2200,9.7700,0.0625,0.0000,0.0625,16.3750,-33.2500,21.0000,-0.0500,0.0300,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6286,2090,74103828,4.375,-5.375,26.625,26.625,0.146,0.907,1.288,99970.60,36.17,-96.959,-97.489,-19.5444,0.0100,0.2400,9.7900,0.0000,0.0625,-0.0625,16.7500,-33.6875,21.0000,-0.0700,0.0400,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6298,2094,74223949,4.375,-5.375,26.625,26.625,0.121,0.816,0.113,99971.68,36.17,-96.924,-97.484,-19.5511,0.0000,0.2100,9.8000,-0.0625,-0.0625,-0.0625,15.2500,-32.5625,21.0000,-0.0700,0.0200,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6310,2098,74343894,4.375,-5.375,26.625,26.625,-0.278,-0.580,-1.754,99988.23,36.18,-96.949,-97.489,-19.5434,0.0000,0.2400,9.7900,0.0000,-0.0625,-0.0625,15.2500,-33.6875,21.7500,-0.0800,0.0500,0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6322,2102,74464451,4.375,-5.375,26.625,26.625,-0.274,-0.743,-0.973,99990.16,36.18,-96.950,-97.490,-19.5526,0.0000,0.2300,9.8000,0.0000,0.1875,0.0000,16.0000,-33.2500,21.3750,-0.0500,0.0500,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6332,2105,74564594,4.375,-5.375,26.625,26.625,-0.320,-0.781,0.789,99990.61,36.17,-96.964,-97.493,-19.5344,0.0100,0.2400,9.7800,-0.1250,0.0625,0.0000,16.0000,-34.0625,20.1875,-0.0600,0.0400,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6343,2109,74674564,4.375,-5.375,26.625,26.625,-0.359,0.552,-1.926,99974.80,36.18,-97.025,-97.506,-19.5541,0.0000,0.2500,9.8000,0.0000,0.0000,0.1250,16.0000,-32.8750,19.7500,-0.0700,0.0400,-0.0300,0.0600,0.1900,9.8000,3,3,3,0,1,1
6355,2113,74793967,4.375,-5.375,26.625,26.625,-0.528,-0.684,-0.059,99989.45,36.17,-97.038,-97.509,-19.5360,0.0100,0.2600,9.7800,0.0625,0.0000,0.0000,16.3750,-32.8750,20.5625,-0.0800,0.0300,-0.0200,0.0600,0.1900,9.8000,3,3,3,0,1,1
6364,2116,74893863,4.375,-5.375,26.625,26.625,-0.473,-0.569,0.241,99988.09,36.16,-97.030,-97.507,-19.5444,0.0100,0.2400,9.7900,0.0000,0.0625,0.0000,15.6875,-34.0625,19.7500,-0.0500,0.0300,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6376,2120,75014684,4.375,-5.375,26.625,26.625,-0.403,0.562,-0.458,99974.69,36.17,-97.068,-97.515,-19.5507,-0.0200,0.2300,9.8000,0.0000,-0.1250,0.0000,16.3750,-33.6875,21.0000,-0.0600,0.0200,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6388,2124,75134990,4.375,-5.375,26.625,26.625,-0.144,-0.045,3.513,99981.88,36.17,-96.980,-97.497,-19.5222,0.0100,0.2100,9.7700,0.0000,-0.0625,-0.0625,16.0000,-33.6875,21.3750,-0.0500,0.0500,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6400,2128,75254429,4.375,-5.375,26.625,26.625,-0.252,-0.921,0.392,99992.27,36.18,-96.959,-97.494,-19.5541,0.0000,0.2500,9.8000,0.0625,0.0000,0.0625,16.3750,-33.2500,19.3750,-0.0600,0.0500,0.0300,0.0600,0.1900,9.8000,3,3,3,0,1,1
6412,2132,75374972,4.375,-5.375,26.625,26.625,-0.572,-1.331,-2.241,99997.12,36.18,-97.026,-97.508,-19.5535,0.0100,0.2300,9.8000,-0.0625,-0.0625,-0.0625,16.0000,-34.0625,21.0000,-0.0600,0.0600,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6424,2136,75494924,4.375,-5.375,26.625,26.625,-0.517,-1.303,0.777,99996.80,36.18,-97.037,-97.510,-19.5554,0.0300,0.2300,9.8000,0.0000,0.1875,0.0625,16.7500,-33.6875,19.0000,-0.0500,0.0300,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6436,2140,75615470,4.375,-5.375,26.625,26.625,-0.538,-0.763,-0.634,99990.39,36.17,-97.079,-97.519,-19.5633,0.0000,0.2400,9.8100,0.0625,0.0625,-0.0625,16.0000,-33.2500,19.7500,-0.0600,0.0600,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6446,2143,75715558,4.375,-5.375,26.625,26.625,-0.467,0.458,-0.845,99975.91,36.17,-97.111,-97.525,-19.5312,0.0000,0.2100,9.7800,0.0000,-0.1250,-0.1250,15.2500,-33.6875,20.1875,-0.0400,0.0300,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6457,2147,75825584,4.375,-5.375,26.625,26.625,-0.378,0.372,1.466,99976.95,36.17,-97.102,-97.523,-19.5329,0.0100,0.2200,9.7800,0.0000,-0.1250,0.0000,16.0000,-34.0625,20.1875,-0.0600,0.0400,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6466,2150,75925684,4.375,-5.375,26.625,26.625,-0.528,-1.272,-0.464,99996.42,36.16,-97.085,-97.520,-19.5534,0.0000,0.2400,9.8000,0.0000,-0.1875,-0.1250,16.0000,-33.2500,21.0000,-0.0500,0.0500,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6478,2154,76044897,4.375,-5.375,26.625,26.625,-0.342,0.023,0.190,99981.08,36.17,-97.097,-97.523,-19.5640,0.0000,0.2500,9.8100,-0.0625,-0.0625,0.0625,16.3750,-32.8750,20.1875,-0.0600,0.0500,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6490,2158,76165714,4.375,-5.375,26.625,26.625,-0.318,0.161,-0.100,99979.45,36.19,-97.097,-97.523,-19.5327,0.0000,0.2300,9.7800,-0.0625,-0.0625,0.0625,16.7500,-33.6875,20.5625,-0.0500,0.0200,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6502,2162,76285984,4.375,-5.375,26.625,26.625,-0.225,-0.215,1.663,99983.90,36.17,-97.050,-97.514,-19.5509,-0.0100,0.2200,9.8000,0.0000,0.1250,0.1250,17.0625,-32.8750,19.3750,-0.0500,0.0400,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6514,2166,76405917,4.375,-5.375,26.625,26.625,-0.092,0.711,0.292,99972.93,36.19,-97.034,-97.511,-19.5526,0.0000,0.2300,9.8000,0.1250,0.0000,0.0000,15.6875,-33.6875,20.1875,-0.0600,0.0500,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6526,2170,76525917,4.375,-5.375,26.625,26.625,0.073,-0.128,2.802,99982.87,36.19,-96.933,-97.491,-19.5344,0.0100,0.2400,9.7800,0.0000,0.0000,0.0000,16.0000,-32.1875,20.5625,-0.0700,0.0400,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6538,2174,76645944,4.375,-5.375,26.625,26.625,-0.204,-2.082,0.201,100006.02,36.18,-96.898,-97.486,-19.5410,-0.0100,0.2200,9.7900,0.0000,0.0000,0.0000,16.7500,-32.8750,20.5625,-0.0700,0.0300,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6548,2177,76745936,4.375,-5.375,26.625,26.625,0.098,1.556,-2.499,99962.91,36.18,-96.916,-97.489,-19.5243,0.0000,0.2500,9.7700,-0.0625,0.1250,0.0000,15.6875,-33.2500,20.5625,-0.0500,0.0500,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6559,2181,76866073,4.375,-5.375,26.625,26.625,0.075,-0.560,2.060,99987.99,36.17,-96.835,-97.474,-19.5608,-0.0100,0.2200,9.8100,0.0000,0.0625,0.0000,16.3750,-33.2500,19.7500,-0.0400,0.0500,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6569,2184,76966581,4.375,-5.375,26.625,26.625,-0.065,0.500,-2.586,99975.41,36.17,-96.881,-97.485,-19.5528,0.0100,0.2200,9.8000,0.0000,0.1875,-0.0625,17.0625,-32.8750,20.1875,-0.0600,0.0500,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6580,2188,77076590,4.375,-5.375,26.625,26.625,-0.125,-0.491,0.368,99987.16,36.17,-96.862,-97.483,-19.5228,0.0000,0.2300,9.7700,0.0000,0.0000,0.0625,17.0625,-34.3750,21.7500,-0.0600,0.0400,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6592,2192,77195520,4.375,-5.375,26.625,26.625,-0.360,-0.151,-2.864,99983.14,36.18,-96.936,-97.500,-19.5610,0.0000,0.2100,9.8100,-0.1250,0.1875,0.0000,15.6875,-32.8750,20.1875,-0.0700,0.0400,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6604,2196,77316706,4.375,-5.375,26.625,26.625,-0.269,-0.466,0.537,99986.88,36.20,-96.919,-97.497,-19.5457,0.0000,0.2700,9.7900,0.0625,0.0625,0.0000,16.7500,-33.6875,21.0000,-0.0400,0.0500,-0.0400,0.0600,0.1900,9.8000,3,3,3,0,1,1
6616,2200,77436989,4.375,-5.375,26.625,26.625,-0.377,-1.363,-0.446,99997.50,36.19,-96.924,-97.497,-19.5037,0.0000,0.2400,9.7500,0.0625,0.1875,-0.0625,16.0000,-33.2500,19.7500,-0.0700,0.0400,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6628,2204,77556821,4.375,-5.375,26.625,26.625,-0.449,-0.294,-1.313,99984.83,36.18,-96.991,-97.511,-19.5221,0.0000,0.2200,9.7700,0.0625,-0.0625,0.0000,16.7500,-33.6875,20.5625,-0.0600,0.0300,-0.0200,0.0600,0.1900,9.8000,3,3,3,0,1,1
6640,2208,77676935,4.375,-5.375,26.625,26.625,-0.656,-1.373,-1.161,99997.63,36.18,-97.028,-97.518,-19.5453,0.0200,0.2400,9.7900,0.0000,-0.0625,0.0000,16.0000,-33.6875,20.5625,-0.0500,0.0100,-0.0200,0.0600,0.1900,9.8000,3,3,3,0,1,1
6652,2212,77796972,4.375,-5.375,26.625,26.625,-0.593,-0.173,-0.359,99983.39,36.19,-97.091,-97.530,-19.5326,-0.0100,0.2400,9.7800,-0.0625,-0.0625,0.0000,16.7500,-33.6875,20.5625,-0.0500,0.0600,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6662,2215,77896950,4.375,-5.375,26.625,26.625,-0.565,-1.471,2.113,99998.79,36.16,-97.050,-97.521,-19.5427,0.0000,0.2300,9.7900,-0.0625,0.0625,-0.0625,15.6875,-33.2500,19.3750,-0.0600,0.0500,0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
6674,2219,78017565,4.375,-5.375,26.625,26.625,-0.492,0.693,-1.062,99973.13,36.17,-97.129,-97.537,-19.5327,0.0000,0.2300,9.7800,-0.1250,0.0625,-0.1250,16.0000,-32.5625,20.5625,-0.0600,0.0400,-0.0300,0.0600,0.1900,9.8000,3,3,2,0,1,1
6686,2223,78137772,4.375,-5.375,26.625,26.625,-0.319,0.337,1.865,99977.36,36.17,-97.092,-97.529,-19.5335,0.0000,0.2400,9.7800,-0.1250,0.1875,-0.0625,16.3750,-33.6875,20.1875,-0.0500,0.0400,-0.0200,0.0600,0.1900,9.8000,3,3,2,0,1,1
6698,2227,78257305,4.375,-5.375,26.625,26.625,-0.400,-0.580,-0.008,99988.22,36.19,-97.084,-97.528,-19.5528,0.0100,0.2200,9.8000,0.0000,0.0625,0.0000,14.8750,-34.0625,21.7500,-0.0700,0.0300,0.0000,0.0600,0.1900,9.8000,3,3,2,0,1,1
6710,2231,78377738,4.375,-5.375,26.625,26.625,0.128,1.125,3.434,99968.02,36.18,-97.000,-97.511,-19.5236,0.0000,0.2400,9.7700,0.0000,0.0000,0.0000,16.0000,-33.6875,21.7500,-0.0300,0.0000,-0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
6722,2235,78497906,4.375,-5.375,26.625,26.625,-0.176,0.847,-3.232,99971.30,36.18,-97.044,-97.519,-19.5717,0.0000,0.2200,9.8200,0.0000,0.0625,-0.0625,16.7500,-33.6875,20.5625,-0.0600,0.0400,0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
6734,2239,78617931,4.375,-5.375,26.625,26.625,-0.282,-1.867,1.945,100003.48,36.20,-96.965,-97.504,-19.5526,0.0000,0.2300,9.8000,0.0000,0.0625,0.0625,16.3750,-33.2500,21.3750,-0.0400,0.0300,-0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
6746,2243,78738143,4.375,-5.375,26.625,26.625,-0.266,-0.697,-0.570,99989.61,36.18,-96.992,-97.509,-19.5236,0.0000,0.2400,9.7700,0.0000,0.0625,-0.0625,16.0000,-33.6875,21.0000,-0.0600,0.0300,-0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
6759,2247,78868466,4.375,-5.375,26.625,26.625,-0.022,0.621,0.653,99973.99,36.16,-96.961,-97.502,-19.5436,0.0100,0.2300,9.7900,0.1250,0.2500,0.0000,14.8750,-33.6875,20.1875,-0.0800,0.0300,-0.0300,0.0600,0.1900,9.8000,3,3,2,0,1,1
6771,2251,78988700,4.375,-5.375,26.625,26.625,0.138,0.999,1.012,99969.51,36.19,-96.911,-97.492,-19.5243,0.0000,0.2500,9.7700,-0.0625,-0.1250,0.0625,16.0000,-33.6875,20.1875,-0.0400,0.0400,0.0200,0.0600,0.1900,9.8000,3,3,2,0,1,1
6783,2255,79108161,4.375,-5.375,26.625,26.625,-0.093,-0.567,0.251,99988.07,36.19,-96.880,-97.488,-19.5740,0.0000,0.2500,9.8200,0.0625,0.0625,0.0625,17.0625,-32.8750,21.0000,-0.0700,0.0400,-0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
6795,2259,79228686,4.375,-5.375,26.625,26.625,-0.286,-0.651,-1.269,99989.06,36.18,-96.913,-97.495,-19.5028,-0.0100,0.2400,9.7500,-0.0625,0.0000,0.1250,16.3750,-33.2500,19.7500,-0.0700,0.0400,-0.0200,0.0600,0.1900,9.8000,3,3,2,0,1,1
6807,2263,79347910,4.375,-5.375,26.625,26.625,-0.403,0.907,-2.958,99970.59,36.19,-97.010,-97.515,-19.5221,0.0000,0.2200,9.7700,0.0000,-0.0625,0.0000,16.3750,-32.8750,19.3750,-0.0800,0.0600,0.0000,0.0600,0.1900,9.8000,3,3,2,0,1,1
6819,2267,79468830,4.375,-5.375,26.625,26.625,-0.520,0.033,-0.489,99980.96,36.19,-97.034,-97.521,-19.5541,0.0000,0.2500,9.8000,-0.1250,0.0000,0.0625,16.3750,-32.8750,20.1875,-0.0600,0.0400,-0.0200,0.0600,0.1900,9.8000,3,3,2,0,1,1
6831,2271,79589019,4.375,-5.375,26.625,26.625,-0.104,0.428,3.361,99976.27,36.18,-96.960,-97.506,-19.5310,-0.0100,0.2200,9.7800,-0.0625,-0.1250,0.0000,16.7500,-33.2500,20.5625,-0.0700,0.0400,-0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
6843,2275,79708939,4.375,-5.375,26.625,26.625,-0.013,0.323,0.969,99977.52,36.20,-96.923,-97.499,-19.5135,-0.0100,0.2500,9.7600,0.0000,0.1250,0.0000,15.6875,-34.0625,20.5625,-0.0500,0.0400,-0.0300,0.0600,0.1900,9.8000,3,3,2,0,1,1
6855,2279,79828940,4.375,-5.375,26.625,26.625,-0.085,-0.980,0.636,99992.97,36.20,-96.877,-97.490,-19.5245,0.0100,0.2400,9.7700,0.0625,-0.0625,0.0000,16.3750,-33.6875,20.1875,-0.0800,0.0300,-0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
6864,2282,79929471,4.375,-5.375,26.625,26.625,0.055,0.207,-0.507,99978.89,36.18,-96.876,-97.490,-19.5329,0.0100,0.2200,9.7800,0.0625,0.0625,0.0625,17.0625,-34.3750,21.3750,-0.0500,0.0500,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6874,2285,80029447,4.375,-5.375,26.625,26.625,-0.115,-0.367,-0.044,99985.70,36.19,-96.884,-97.492,-19.5320,0.0000,0.2200,9.7800,0.0000,-0.1875,0.1250,16.0000,-33.6875,20.5625,-0.0400,0.0500,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6885,2289,80139771,4.375,-5.375,26.625,26.625,-0.518,-0.754,-3.452,99990.29,36.19,-96.975,-97.512,-19.5228,0.0000,0.2300,9.7700,-0.0625,-0.1875,0.0625,16.0000,-33.2500,20.1875,-0.0500,0.0500,0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6897,2293,80259196,4.375,-5.375,26.625,26.625,-0.445,0.310,-0.938,99977.67,36.20,-97.024,-97.522,-19.5449,0.0000,0.2600,9.7900,0.0000,0.0000,0.0000,16.3750,-32.8750,19.3750,-0.0700,0.0500,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6909,2297,80379677,4.375,-5.375,26.625,26.625,-0.322,0.618,-0.307,99974.02,36.19,-97.030,-97.523,-19.5213,0.0000,0.2100,9.7700,0.0625,0.0625,-0.0625,16.7500,-33.2500,21.0000,-0.0500,0.0400,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6921,2301,80498894,4.375,-5.375,26.625,26.625,-0.386,-0.032,0.011,99981.73,36.20,-97.037,-97.525,-19.5412,0.0000,0.2100,9.7900,0.0625,0.0625,-0.0625,15.6875,-32.5625,19.7500,-0.0600,0.0500,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
6933,2305,80619832,4.375,-5.375,26.625,26.625,-0.585,-1.565,-0.854,99999.89,36.21,-97.054,-97.528,-19.5732,0.0000,0.2400,9.8200,0.0625,0.1250,0.0000,16.3750,-32.5625,20.1875,-0.0500,0.0400,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6945,2309,80740023,4.375,-5.375,26.625,26.625,-0.399,-0.682,0.997,99989.44,36.19,-97.056,-97.528,-19.5335,0.0000,0.2400,9.7800,0.0000,0.0000,0.0000,16.0000,-32.8750,20.1875,-0.0400,0.0500,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
6958,2313,80870493,4.375,-5.375,26.625,26.625,-0.356,-0.696,0.766,99989.60,36.19,-97.049,-97.526,-19.5534,0.0000,0.2400,9.8000,0.0625,0.0000,0.1250,15.2500,-32.8750,20.1875,-0.0600,0.0000,-0.0300,0.0600,0.1900,9.8000,3,3,2,0,1,1
6970,2317,80990137,4.375,-5.375,26.625,26.625,-0.267,-0.418,0.346,99986.30,36.19,-97.038,-97.524,-19.5310,-0.0100,0.2200,9.7800,-0.0625,-0.0625,0.1250,16.0000,-32.5625,21.0000,-0.0700,0.0600,-0.0200,0.0600,0.1900,9.8000,3,3,2,0,1,1
6982,2321,81110052,4.375,-5.375,26.625,26.625,-0.384,-0.032,-1.889,99981.73,36.19,-97.086,-97.533,-19.5740,0.0000,0.2500,9.8200,0.0000,0.0000,-0.0625,15.2500,-34.0625,21.3750,-0.0600,0.0500,-0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
6994,2325,81230471,4.375,-5.375,26.625,26.625,-0.483,-0.448,-0.798,99986.66,36.20,-97.105,-97.536,-19.5129,0.0000,0.2300,9.7600,0.0625,0.0000,0.0000,15.6875,-33.2500,21.3750,-0.0600,0.0400,0.0000,0.0600,0.1900,9.8000,3,3,2,0,1,1
7006,2329,81349881,4.375,-5.375,26.625,26.625,-0.298,-0.340,1.032,99985.38,36.21,-97.078,-97.531,-19.5434,0.0000,0.2400,9.7900,0.0000,-0.0625,0.0000,16.7500,-34.0625,19.3750,-0.0600,0.0500,0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
7018,2333,81470603,4.375,-5.375,26.625,26.625,-0.501,-0.118,-2.168,99982.75,36.21,-97.141,-97.543,-19.5228,0.0000,0.2300,9.7700,0.0625,0.0000,0.0625,15.6875,-34.0625,20.1875,-0.0500,0.0300,-0.0300,0.0600,0.1900,9.8000,3,3,2,0,1,1
7030,2337,81590864,4.375,-5.375,26.625,26.625,-0.321,0.320,1.019,99977.56,36.21,-97.125,-97.539,-19.5543,0.0100,0.2400,9.8000,-0.1250,0.0625,0.1250,16.0000,-32.8750,20.5625,-0.0300,0.0400,0.0200,0.0600,0.1900,9.8000,3,3,2,0,1,1
7042,2341,81710302,4.375,-5.375,26.625,26.625,-0.058,0.632,1.414,99973.86,36.21,-97.068,-97.527,-19.5343,0.0000,0.2500,9.7800,0.0625,0.0625,-0.0625,16.0000,-33.6875,20.1875,-0.0900,0.0300,0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
7054,2345,81830831,4.375,-5.375,26.625,26.625,-0.197,-1.189,1.164,99995.44,36.20,-97.011,-97.515,-19.5335,0.0000,0.2400,9.7800,-0.1250,0.0000,0.1250,15.6875,-33.6875,21.0000,-0.0400,0.0400,-0.0100,0.0600,0.1900,9.8000,3,3,2,0,1,1
7063,2348,81930824,4.375,-5.375,26.625,26.625,-0.304,-0.147,-2.418,99983.09,36.20,-97.069,-97.527,-19.5335,0.0000,0.2400,9.7800,0.0625,0.1250,0.0625,16.3750,-33.6875,19.0000,-0.0800,0.0400,-0.0200,0.0600,0.1900,9.8000,3,3,3,0,1,1
7075,2352,82050926,4.375,-5.375,26.625,26.625,-0.566,-1.021,-1.669,99993.45,36.20,-97.110,-97.535,-19.5526,0.0000,0.2300,9.8000,-0.0625,0.0000,0.0000,16.0000,-33.2500,19.3750,-0.0700,0.0500,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
7087,2356,82170952,4.375,-5.375,26.625,26.625,-0.351,-0.273,0.559,99984.59,36.19,-97.101,-97.534,-19.5442,0.0000,0.2500,9.7900,0.0000,0.0625,-0.0625,16.7500,-33.6875,19.7500,-0.0400,0.0300,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
7099,2360,82291642,4.375,-5.375,26.625,26.625,-0.300,0.046,0.229,99980.80,36.21,-97.102,-97.534,-19.5129,0.0000,0.2300,9.7600,0.1250,0.0625,0.1250,16.0000,-33.2500,19.3750,-0.0600,0.0600,0.0000,0.0600,0.1900,9.8000,3,3,3,0,1,1
7109,2363,82391628,4.375,-5.375,26.625,26.625,-0.588,-1.161,-0.499,99995.12,36.21,-97.142,-97.542,-19.5417,-0.0100,0.2300,9.7900,-0.1250,0.0000,0.0000,16.7500,-32.5625,21.3750,-0.0600,0.0400,-0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
7120,2367,82500902,4.375,-5.375,26.625,26.625,-0.382,-0.281,0.630,99984.68,36.20,-97.130,-97.540,-19.5741,0.0100,0.2400,9.8200,0.0000,0.1250,-0.0625,16.7500,-33.2500,20.1875,-0.0600,0.0200,0.0100,0.0600,0.1900,9.8000,3,3,3,0,1,1
