=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.22 01:23:57 =~=~=~=~=~=~=~=~=~=~=~=
imu_seq,baro_seq,timestamp_us,roll_deg,pitch_deg,yaw_deg,heading_deg,altitude_m,raw_altitude_m,climb_rate_mps,pressure_pa,temperature_c,comp_altitude_m,comp_climb_rate_mps,comp_accel_up_mss,accel_x_mss,accel_y_mss,accel_z_mss,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_ut,mag_y_ut,mag_z_ut,linacc_x_mss,linacc_y_mss,linacc_z_mss,grav_x_mss,grav_y_mss,grav_z_mss,imu_valid,baro_valid
[IMU] BNO055 axis_map=0x24 sign_x=0 sign_y=0 sign_z=0
[SETUP] Baro PROM: C1=39189 C2=35799 C3=24633 C4=24872 C5=35093 C6=27857
[SETUP] Airspeed init failed -- check wiring/I2C address
[SETUP] SD card init failed -- check the card is inserted
3,1,10678783,3.188,1.125,81.812,81.812,-0.068,-0.378,0.000,99636.34,34.29,-0.006,-0.383,-19.0597,-0.0500,-0.9300,9.3200,-0.0625,0.1250,0.0000,29.1875,-6.5625,25.1875,0.0600,0.0000,-0.4100,-0.1400,-0.9200,9.7600,1,1
15,5,10799115,3.188,1.125,81.812,81.812,0.499,0.502,0.000,99625.95,34.49,-0.084,-2.645,-18.9144,-0.0200,-0.8400,9.1700,0.1250,0.0625,-0.0625,30.0000,-4.6875,24.7500,0.1100,0.0800,-0.5800,-0.1300,-0.9200,9.7600,1,1
27,9,10918478,3.250,1.125,81.812,81.812,0.253,-0.508,-0.059,99637.88,34.59,-0.479,-4.902,-18.9701,0.0900,-0.8500,9.2300,0.0625,0.0000,-0.1875,28.7500,-6.1875,25.5625,-0.1000,0.0700,-0.5400,-0.1300,-0.9200,9.7600,1,1
960,320,20259124,3.375,1.188,81.812,81.812,-0.514,-0.318,-0.935,99635.63,34.89,-84.023,-87.245,-19.0354,-0.0800,-0.9300,9.3000,0.0625,0.0625,0.0000,29.1875,-6.1875,26.0625,0.0300,0.0000,-0.4500,-0.1100,-0.9300,9.7600,1,1
972,324,20378466,3.375,1.188,81.812,81.812,-0.253,-0.854,3.297,99641.97,34.91,-84.290,-87.484,-19.0849,-0.0600,-0.9300,9.3500,0.0000,-0.0625,-0.0625,29.5625,-6.5625,25.5625,0.0200,0.0000,-0.4100,-0.1100,-0.9300,9.7600,1,1
984,328,20499483,3.375,1.188,81.812,81.812,-0.262,-0.726,-0.093,99640.45,34.89,-84.621,-87.731,-19.0470,-0.0700,-0.9000,9.3100,0.0000,-0.1250,-0.0625,29.5625,-7.0000,25.1875,0.0300,0.0200,-0.4400,-0.1100,-0.9300,9.7600,1,1
996,332,20619695,3.375,1.188,81.812,81.812,-0.212,0.300,-0.598,99628.34,34.91,-84.962,-87.974,-19.0732,-0.0600,-0.9600,9.3400,-0.0625,0.1875,0.0000,29.1875,-5.7500,25.5625,0.0500,-0.0200,-0.4100,-0.1100,-0.9300,9.7600,1,1
1008,336,20739424,3.375,1.188,81.812,81.812,-0.336,-0.839,-0.143,99641.78,34.89,-85.260,-88.201,-19.0660,-0.0800,-0.9200,9.3300,0.0000,-0.0625,0.1875,29.1875,-6.5625,26.3750,0.0200,0.0000,-0.4500,-0.1100,-0.9300,9.7600,1,1
1020,340,20859702,3.375,1.188,81.812,81.812,-0.399,-1.143,0.646,99645.38,34.89,-85.563,-88.426,-19.0440,-0.0700,-0.9500,9.3100,0.0000,0.0000,-0.0625,30.0000,-6.1875,27.6875,0.0400,-0.0100,-0.4400,-0.1100,-0.9300,9.7600,1,1
1032,344,20979457,3.375,1.188,81.812,81.812,-0.286,-0.301,-0.374,99635.44,34.91,-85.862,-88.643,-19.0448,-0.0500,-0.9300,9.3100,0.1250,0.0625,0.0000,29.5625,-6.1875,25.5625,0.0300,0.0000,-0.4300,-0.1100,-0.9300,9.7600,1,1
1044,348,21100047,3.375,1.188,81.812,81.812,-0.268,0.476,0.066,99626.26,34.90,-86.162,-88.857,-19.0372,-0.0800,-0.9000,9.3000,-0.0625,0.0625,0.0625,29.5625,-6.1875,26.0625,0.0200,0.0200,-0.4500,-0.1100,-0.9300,9.7600,1,1
1056,352,21220450,3.375,1.188,81.812,81.812,0.011,0.444,2.296,99626.63,34.90,-86.361,-89.045,-19.0504,-0.0100,-0.9900,9.3200,0.0625,0.2500,-0.0625,29.1875,-6.1875,26.0625,0.0900,-0.0500,-0.4300,-0.1100,-0.9300,9.7600,1,1
1068,356,21340228,3.375,1.188,81.812,81.812,-0.137,-0.482,-0.526,99637.56,34.90,-86.609,-89.235,-19.0011,-0.0400,-0.9900,9.2700,-0.0625,0.0625,-0.0625,29.1875,-4.6875,25.5625,0.0600,-0.0500,-0.4800,-0.1100,-0.9300,9.7600,1,1
1080,360,21460488,3.375,1.188,81.812,81.812,-0.115,0.264,-0.469,99628.76,34.91,-86.870,-89.427,-18.9511,-0.0600,-1.0000,9.2200,-0.1250,0.1875,-0.1250,29.5625,-5.7500,27.1875,0.0400,-0.0600,-0.5300,-0.1100,-0.9300,9.7600,1,1
1092,364,21579481,3.375,1.188,81.812,81.812,-0.240,-1.433,0.224,99648.80,34.89,-87.080,-89.599,-19.0458,-0.1000,-0.9300,9.3100,-0.0625,-0.1250,0.0625,29.5625,-5.5000,24.7500,0.0300,0.0100,-0.4100,-0.1100,-0.9300,9.7600,1,1
1104,368,21700693,3.375,1.188,81.812,81.812,-0.317,-0.235,-0.452,99634.65,34.91,-87.371,-89.789,-19.0468,-0.0600,-0.9000,9.3100,0.1250,0.0625,-0.0625,30.0000,-5.5000,26.0625,0.0500,0.0200,-0.4400,-0.1100,-0.9300,9.7600,1,1
1116,372,21820855,3.375,1.188,81.812,81.812,-0.284,0.556,-1.156,99625.31,34.90,-87.634,-89.967,-19.0750,-0.0600,-0.9300,9.3400,0.0000,0.0625,-0.0625,29.5625,-5.7500,27.1875,0.0400,0.0000,-0.4100,-0.1100,-0.9300,9.7600,1,1
1128,376,21940856,3.375,1.188,81.812,81.812,-0.154,0.861,1.443,99621.70,34.89,-87.835,-90.129,-19.0672,-0.0800,-0.9000,9.3300,0.0625,0.0625,-0.1875,29.1875,-5.5000,25.1875,0.0200,0.0300,-0.4200,-0.1100,-0.9300,9.7600,1,1
1140,380,22061116,3.375,1.188,81.812,81.812,-0.305,-1.213,0.640,99646.21,34.90,-88.011,-90.281,-19.0456,-0.0900,-0.9300,9.3100,0.0625,-0.0625,-0.1250,30.2500,-5.7500,25.5625,0.0100,0.0000,-0.4400,-0.1100,-0.9300,9.7600,1,1
1152,384,22180461,3.375,1.188,81.812,81.812,-0.179,-0.311,-0.303,99635.55,34.90,-88.222,-90.436,-19.0350,-0.0600,-0.9300,9.3000,0.0000,-0.1875,0.0625,30.0000,-6.1875,25.5625,0.0600,0.0200,-0.4300,-0.1100,-0.9300,9.7600,1,1
1164,388,22301328,3.375,1.188,81.812,81.812,0.009,-0.514,2.561,99637.95,34.91,-88.357,-90.574,-19.0454,-0.0800,-0.9300,9.3100,0.0000,-0.0625,0.1875,28.8750,-6.1875,26.0625,0.0200,0.0000,-0.4400,-0.1100,-0.9300,9.7600,1,1
1174,391,22401488,3.375,1.188,81.812,81.812,-0.138,-0.953,0.241,99643.13,34.91,-88.527,-90.697,-19.0442,-0.0500,-0.9400,9.3100,-0.1250,0.0000,0.1250,29.5625,-5.5000,27.1875,0.0600,-0.0100,-0.4400,-0.1100,-0.9300,9.7600,1,1
1185,395,22511489,3.375,1.188,81.812,81.812,-0.047,0.644,-1.141,99624.27,34.91,-88.720,-90.830,-19.0261,-0.0800,-0.9200,9.2900,0.0000,-0.1250,0.0000,28.8750,-6.1875,25.1875,0.0300,0.0000,-0.4600,-0.1100,-0.9300,9.7600,1,1
1197,399,22630451,3.375,1.188,81.812,81.812,0.025,0.185,0.468,99629.70,34.90,-88.862,-90.958,-19.0760,-0.0800,-0.9200,9.3400,0.0000,-0.0625,0.0000,29.1875,-6.5625,26.0625,0.0100,0.0000,-0.4400,-0.1100,-0.9300,9.7600,1,1
1209,403,22751738,3.375,1.188,81.812,81.812,-0.097,0.032,-1.023,99631.50,34.92,-89.056,-91.094,-19.0454,-0.0500,-0.9200,9.3100,-0.0625,0.0000,0.0625,29.1875,-6.5625,26.8750,0.0500,0.0000,-0.4400,-0.1100,-0.9300,9.7600,1,1
1221,407,22872048,3.375,1.188,81.812,81.812,-0.296,-1.016,-0.282,99643.88,34.91,-89.239,-91.226,-19.0660,-0.0800,-0.9200,9.3300,-0.0625,0.1250,0.0000,30.6875,-5.7500,26.3750,0.0200,0.0000,-0.4200,-0.1100,-0.9300,9.7600,1,1
1233,411,22991840,3.375,1.188,81.812,81.812,0.012,0.585,1.030,99624.97,34.91,-89.391,-91.349,-19.0351,-0.0900,-0.9400,9.3000,0.0625,0.0625,0.0000,29.5625,-6.1875,24.7500,0.0200,-0.0100,-0.4500,-0.1100,-0.9300,9.7600,1,1
1245,415,23112140,3.375,1.188,81.812,81.812,0.160,0.122,1.923,99630.45,34.92,-89.481,-91.456,-19.0438,-0.0600,-0.9500,9.3100,0.0625,0.1875,-0.0625,29.5625,-5.0625,26.3750,0.0500,-0.0100,-0.4400,-0.1100,-0.9300,9.7600,1,1
1257,419,23231458,3.375,1.188,81.812,81.812,0.233,0.455,0.407,99626.50,34.91,-89.602,-91.566,-19.0556,-0.0900,-0.9300,9.3200,0.0625,0.1250,0.0000,30.0000,-5.7500,26.8750,0.0400,0.0100,-0.4400,-0.1100,-0.9300,9.7600,1,1
1269,423,23352320,3.375,1.188,81.812,81.812,0.023,-0.689,-0.283,99640.01,34.92,-89.739,-91.678,-19.0877,-0.0500,-0.8800,9.3500,0.1250,0.2500,-0.3125,29.5625,-5.7500,26.3750,0.0500,0.0500,-0.4000,-0.1100,-0.9300,9.7600,1,1
1279,426,23452495,3.375,1.188,81.812,81.812,0.087,0.954,-2.337,99620.62,34.90,-89.883,-91.774,-19.0999,-0.1000,-0.8600,9.3600,0.0625,0.0000,0.0625,30.0000,-5.7500,24.3750,0.0100,0.0700,-0.3900,-0.1100,-0.9300,9.7600,1,1
1290,430,23562493,3.375,1.188,81.812,81.812,0.064,0.325,0.422,99628.05,34.91,-89.994,-91.869,-18.9744,-0.0800,-0.9500,9.2400,0.0625,-0.1250,0.0000,30.0000,-5.5000,26.0625,0.0300,-0.0100,-0.5100,-0.1100,-0.9300,9.7600,1,1
1302,434,23681471,3.375,1.188,81.812,81.812,-0.305,-0.951,-2.530,99643.11,34.89,-90.181,-91.980,-19.1287,-0.1300,-0.8900,9.3900,-0.1250,0.0625,0.0000,30.2500,-5.7500,26.0625,-0.0400,-0.0700,-0.5100,-0.1100,-0.9300,9.7600,1,1
1314,438,23802678,3.375,1.188,81.812,81.812,0.098,0.338,2.688,99627.88,34.91,-90.270,-92.069,-19.0531,-0.0800,-0.9700,9.3200,0.0000,-0.0625,-0.0625,28.8750,-5.0625,26.0625,0.0200,-0.0300,-0.4300,-0.1100,-0.9300,9.7600,1,1
1326,442,23923046,3.375,1.188,81.812,81.812,-0.253,-1.657,-0.774,99651.45,34.92,-90.413,-92.168,-19.0552,-0.0700,-0.9300,9.3200,-0.0625,0.0000,0.0625,29.1875,-6.1875,27.1875,0.0300,0.0000,-0.4300,-0.1100,-0.9300,9.7600,1,1
1338,446,24042861,3.375,1.188,81.812,81.812,-0.402,-1.115,-1.456,99645.05,34.92,-90.610,-92.276,-19.0456,-0.0600,-0.9200,9.3100,0.0000,0.0000,0.2500,29.5625,-6.5625,25.1875,0.0400,0.0100,-0.4400,-0.1100,-0.9300,9.7600,1,1
1350,450,24163121,3.375,1.188,81.812,81.812,-0.318,0.472,-0.560,99626.30,34.90,-90.795,-92.379,-19.0650,-0.0900,-0.9400,9.3300,-0.0625,-0.0625,0.1875,30.0000,-6.1875,24.3750,0.0200,0.0000,-0.4200,-0.1100,-0.9300,9.7600,1,1
1362,454,24282482,3.375,1.188,81.812,81.812,-0.118,-0.429,2.157,99636.95,34.91,-90.849,-92.455,-19.0440,-0.0700,-0.9500,9.3100,0.0000,0.2500,0.1250,30.0000,-7.0000,26.8750,0.0300,-0.0100,-0.4200,-0.1100,-0.9300,9.7600,1,1
1374,458,24403302,3.375,1.188,81.812,81.812,-0.035,-0.353,0.995,99636.05,34.91,-90.941,-92.535,-19.0162,-0.0600,-0.9100,9.2800,0.0000,0.1250,0.2500,28.8750,-6.1875,26.8750,0.0500,0.0100,-0.4700,-0.1100,-0.9300,9.7600,1,1
1384,461,24503505,3.375,1.188,81.812,81.812,-0.134,0.748,-2.004,99623.05,34.91,-91.085,-92.615,-19.0468,-0.0600,-0.9000,9.3100,0.1250,0.0625,-0.0625,30.0000,-6.1875,27.6875,0.0400,0.0300,-0.4400,-0.1100,-0.9300,9.7600,1,1
1395,465,24613500,3.375,1.188,81.812,81.812,-0.330,-0.880,0.142,99642.27,34.91,-91.196,-92.692,-19.0460,-0.0800,-0.9200,9.3100,0.1250,0.0000,-0.1250,30.0000,-6.1875,27.1875,0.0300,0.0100,-0.4400,-0.1100,-0.9300,9.7600,1,1
1407,469,24732485,3.375,1.188,81.812,81.812,-0.824,-2.086,-3.965,99656.52,34.92,-91.418,-92.793,-19.0961,-0.0900,-0.9200,9.3600,-0.0625,0.1250,0.0625,30.0000,-6.1875,26.8750,0.0400,-0.0100,-0.4200,-0.1100,-0.9300,9.7600,1,1
1419,473,24853707,3.375,1.188,81.812,81.812,-0.582,-0.517,0.755,99637.98,34.91,-91.566,-92.876,-19.0241,-0.1000,-0.9600,9.2900,0.0625,0.0625,0.0000,29.5625,-6.5625,24.3750,0.0100,-0.0200,-0.4600,-0.1100,-0.9300,9.7600,1,1
1431,477,24974050,3.375,1.188,81.812,81.812,-0.528,-0.411,0.864,99636.73,34.91,-91.688,-92.953,-19.0560,-0.0800,-0.9200,9.3200,0.0000,0.0625,0.0000,28.5000,-5.7500,26.0625,0.0300,0.0000,-0.4300,-0.1100,-0.9300,9.7600,1,1
1443,481,25093855,3.375,1.188,81.812,81.812,-0.539,-0.414,0.111,99636.77,34.92,-91.816,-93.030,-19.0660,-0.0800,-0.9200,9.3300,0.0000,0.0000,0.0000,28.8750,-6.5625,26.0625,0.0300,0.0000,-0.4200,-0.1100,-0.9300,9.7600,1,1
1455,485,25214223,3.375,1.188,81.812,81.812,-0.496,-1.214,2.126,99646.22,34.92,-91.887,-93.092,-19.0742,-0.0800,-0.9500,9.3400,0.0000,-0.0625,0.0000,29.5625,-6.1875,26.0625,0.0200,-0.0100,-0.4100,-0.1100,-0.9300,9.7600,1,1
1467,489,25333489,3.375,1.188,81.812,81.812,-0.212,0.285,1.290,99628.52,34.92,-91.966,-93.155,-19.0562,-0.0600,-0.9100,9.3200,0.0000,-0.1875,0.1250,29.5625,-6.5625,26.3750,0.0200,0.0000,-0.4400,-0.1100,-0.9300,9.7600,1,1
1479,493,25454512,3.375,1.188,81.812,81.812,-0.673,-1.432,-2.502,99648.79,34.92,-92.115,-93.230,-19.0556,-0.0600,-0.9200,9.3200,0.0625,0.0000,-0.0625,30.0000,-7.2500,26.3750,0.0500,0.0000,-0.4300,-0.1100,-0.9300,9.7600,1,1
1489,496,25554492,3.375,1.188,81.812,81.812,-0.547,0.436,-1.508,99626.73,34.91,-92.228,-93.290,-19.0258,-0.0700,-0.9200,9.2900,-0.1250,-0.0625,0.0000,29.1875,-6.5625,25.1875,0.0400,0.0000,-0.4600,-0.1100,-0.9300,9.7600,1,1
1500,500,25664594,3.375,1.188,81.812,81.812,-0.470,-1.627,3.419,99651.09,34.92,-92.238,-93.332,-19.0562,-0.0900,-0.9200,9.3200,0.0625,-0.0625,-0.1250,29.5625,-6.1875,26.3750,0.0200,0.0000,-0.4300,-0.1100,-0.9300,9.7600,1,1
1510,503,25764698,3.375,1.188,81.812,81.812,-0.580,0.089,-2.961,99630.83,34.92,-92.393,-93.398,-18.9587,-0.0300,-1.0300,9.2300,0.0000,-0.1250,-0.1250,30.0000,-5.5000,26.0625,0.0700,-0.0900,-0.5200,-0.1100,-0.9300,9.7600,1,1
1521,507,25874993,3.375,1.188,81.812,81.812,-0.278,0.883,2.817,99621.45,34.92,-92.428,-93.439,-18.9521,-0.0800,-0.9900,9.2200,0.0000,-0.1250,-0.0625,29.5625,-5.7500,26.0625,0.0200,-0.0500,-0.5300,-0.1100,-0.9300,9.7600,1,1
1533,511,25994850,3.375,1.188,81.812,81.812,-0.189,-0.291,0.624,99635.31,34.92,-92.441,-93.483,-18.9642,-0.0700,-0.9500,9.2300,-0.0625,0.1875,0.0625,30.0000,-5.5000,25.1875,0.0400,-0.0100,-0.5200,-0.1100,-0.9300,9.7600,1,1
1545,515,26115123,3.375,1.188,81.812,81.812,-0.212,0.549,-1.251,99625.39,34.93,-92.535,-93.540,-19.0658,-0.0700,-0.9200,9.3300,-0.1250,0.1250,0.0000,29.1875,-6.1875,25.5625,0.0300,0.0000,-0.4200,-0.1100,-0.9300,9.7600,1,1
1557,519,26234483,3.375,1.188,81.812,81.812,-0.526,-1.510,-0.899,99649.71,34.92,-92.613,-93.591,-19.0448,-0.0800,-0.9400,9.3100,-0.0625,-0.0625,0.0000,29.1875,-6.5625,26.0625,0.0300,0.0000,-0.4500,-0.1100,-0.9300,9.7600,1,1
1569,523,26355299,3.375,1.188,81.812,81.812,-0.237,0.389,1.501,99627.29,34.92,-92.678,-93.639,-19.0344,-0.0600,-0.9400,9.3000,0.0625,0.3125,0.0000,29.1875,-6.5625,26.0625,0.0400,-0.0100,-0.4500,-0.1100,-0.9300,9.7600,1,1
1581,527,26475694,3.375,1.188,81.812,81.812,-0.482,-0.638,-1.754,99639.41,34.93,-92.770,-93.692,-19.0466,-0.0800,-0.9100,9.3100,0.0625,0.1875,0.0625,28.8750,-5.7500,26.3750,0.0300,0.0100,-0.4400,-0.1100,-0.9300,9.7600,1,1
1593,531,26595447,3.375,1.188,81.812,81.812,-0.708,-1.434,-1.029,99648.81,34.92,-92.879,-93.747,-19.0544,-0.0600,-0.9400,9.3200,0.0625,0.0625,-0.1250,30.2500,-5.7500,26.3750,0.0300,0.0000,-0.4200,-0.1100,-0.9300,9.7600,1,1
1605,535,26715689,3.375,1.188,81.812,81.812,-0.469,0.250,0.785,99628.92,34.93,-92.960,-93.793,-19.0341,-0.0700,-0.9500,9.3000,0.0000,0.0000,0.1250,29.5625,-5.7500,26.8750,0.0400,-0.0100,-0.4500,-0.1100,-0.9300,9.7600,1,1
1617,539,26834465,3.375,1.188,81.812,81.812,-0.424,-0.631,1.460,99639.33,34.91,-92.982,-93.829,-19.0560,-0.0800,-0.9200,9.3200,0.0000,-0.0625,0.0000,29.5625,-6.5625,25.5625,0.0200,0.0100,-0.4200,-0.1100,-0.9300,9.7600,1,1
1629,543,26955861,3.375,1.188,81.812,81.812,-0.136,1.222,0.164,99617.45,34.93,-93.028,-93.869,-19.0071,0.0400,-0.8600,9.2700,0.2500,0.1250,0.1875,28.5000,-7.0000,26.0625,0.1600,0.0700,-0.4800,-0.1100,-0.9300,9.7600,1,1
1641,547,27076365,3.375,1.188,81.812,81.812,-0.218,-0.423,0.078,99636.88,34.93,-93.037,-93.898,-19.0669,-0.0700,-0.9000,9.3300,0.0000,-0.0625,0.0000,29.1875,-7.0000,26.0625,0.0400,0.0300,-0.4200,-0.1100,-0.9300,9.7600,1,1
1653,551,27196046,3.375,1.188,81.812,81.812,-0.492,-1.354,-1.607,99647.87,34.93,-93.119,-93.943,-19.0550,-0.0600,-0.9300,9.3200,-0.0625,-0.2500,0.0000,29.1875,-5.5000,26.3750,0.0500,0.0000,-0.4300,-0.1100,-0.9300,9.7600,1,1
1665,555,27316304,3.375,1.188,81.812,81.812,-0.520,-0.134,-1.195,99633.45,34.93,-93.230,-93.991,-19.0446,-0.0700,-0.9400,9.3100,-0.1875,0.0000,-0.0625,29.5625,-6.5625,27.1875,0.0300,-0.0100,-0.4400,-0.1100,-0.9300,9.7600,1,1
1677,559,27435454,3.375,1.188,81.812,81.812,-0.708,-1.297,-0.411,99647.20,34.92,-93.301,-94.031,-19.0867,-0.0600,-0.9000,9.3500,-0.0625,-0.1250,0.1250,29.5625,-6.1875,26.0625,0.0100,0.0000,-0.4000,-0.1100,-0.9300,9.7600,1,1
1689,563,27553466,3.625,1.000,81.791,81.750,-0.415,0.719,1.009,99623.38,34.92,-93.368,-94.077,-19.2626,-0.2200,-0.7500,9.5200,1.8125,-4.6875,0.2500,28.8750,-6.1875,25.5625,-0.1400,0.1400,-0.2300,-0.0700,-0.9000,9.7600,1,1
1701,567,27676875,3.375,1.188,81.791,81.812,-0.140,0.046,2.263,99631.34,34.94,-93.316,-94.082,-19.0024,-0.0700,-0.9800,9.2700,0.1875,-0.1875,0.0000,30.2500,-5.8750,26.3750,0.0300,-0.0500,-0.4900,-0.1100,-0.9300,9.7600,1,1
1713,571,27794476,3.562,1.000,81.768,81.688,-0.465,-1.222,-1.072,99646.31,34.93,-93.376,-94.114,-19.0660,-0.0900,-1.0100,9.3400,0.1250,-2.5625,-0.6875,29.1875,-6.6875,26.8750,0.1800,0.0600,-0.5000,-0.0700,-0.9000,9.7600,1,1
1725,575,27916861,3.500,0.938,81.716,81.750,-0.523,-0.000,-1.517,99631.88,34.94,-93.480,-94.159,-19.0432,0.2700,-0.9900,9.3200,0.4375,1.0625,-1.6875,29.5625,-6.2500,26.0625,0.3700,-0.0900,-0.4300,-0.0900,-0.8900,9.7600,1,1
1737,579,28036492,3.875,1.062,83.704,87.438,-0.329,-0.873,2.855,99642.19,34.93,-93.448,-94.175,-19.1692,-1.6700,-0.6700,9.4000,-1.0625,0.5625,-65.1875,29.5625,-6.2500,25.1875,-1.0100,-0.7800,-0.4600,-0.0200,-0.9100,9.7600,1,1
1749,583,28157123,4.125,1.062,88.587,91.500,-0.321,0.795,-1.813,99622.48,34.92,-93.545,-94.210,-18.9754,-0.1800,-0.9600,9.2600,0.5000,0.3750,-16.5000,30.0000,-1.8750,25.1875,-0.2100,-0.0500,-0.4900,0.0300,-0.9100,9.7600,1,1
1761,587,28277496,4.375,1.000,92.265,95.188,-0.365,-1.158,1.305,99645.55,34.93,-93.528,-94.227,-19.0263,0.0000,-0.8100,9.3100,-0.2500,0.6875,-38.9375,31.0625,-0.7500,24.7500,-0.0600,0.0900,-0.4500,0.0600,-0.9000,9.7600,1,1
1773,591,28397203,4.688,1.000,96.746,99.750,-0.212,-1.169,1.986,99645.69,34.94,-93.508,-94.240,-19.0275,-0.0800,-0.7100,9.3100,-0.4375,-0.0625,-14.2500,30.0000,1.3750,25.5625,-0.2000,0.1800,-0.4500,0.1200,-0.9000,9.7600,1,1
1783,594,28495657,4.688,1.000,98.847,100.125,-0.381,-0.389,-2.537,99636.47,34.94,-93.595,-94.271,-19.0114,-0.0500,-0.9000,9.3100,-0.0625,-0.1875,-3.5000,29.1875,3.2500,25.5625,-0.2000,0.0000,-0.4300,0.1100,-0.9000,9.7600,1,1
1794,598,28607418,4.562,1.000,99.935,100.562,-0.191,1.392,-0.374,99615.45,34.94,-93.640,-94.293,-18.9882,-0.0900,-0.8700,9.2800,0.2500,0.0000,0.1250,30.0000,4.3750,25.5625,-0.1900,0.0100,-0.4600,0.1000,-0.9000,9.7600,1,1
1804,601,28707396,4.500,1.000,100.344,100.562,-0.150,0.476,2.166,99626.26,34.93,-93.612,-94.302,-19.0103,-0.0700,-0.8600,9.3000,-0.3750,-0.5625,1.0625,30.6875,2.8750,26.3750,-0.1000,0.0000,-0.4300,0.0900,-0.9000,9.7600,1,1
1816,605,28827876,4.438,1.000,100.312,100.250,-0.247,-0.216,-0.094,99634.43,34.91,-93.629,-94.321,-19.0529,-0.0800,-0.8500,9.3400,0.0000,-0.0625,0.0625,30.0000,2.5625,26.0625,-0.1600,0.0500,-0.4200,0.0800,-0.9000,9.7600,1,1
1828,609,28946521,4.375,1.000,100.267,100.250,-0.301,-0.396,0.178,99636.55,34.93,-93.654,-94.342,-19.0434,-0.0100,-0.8500,9.3300,0.0000,-0.1250,1.3125,28.8750,2.8750,24.3750,0.0000,0.0700,-0.4500,0.0700,-0.9000,9.7600,1,1
1840,613,29067874,4.000,0.938,98.917,96.125,0.002,0.344,2.308,99627.81,34.92,-93.617,-94.348,-19.0332,-0.0100,-0.5700,9.2900,1.3125,-0.8125,82.0000,29.5625,2.8750,25.5625,-0.0200,0.3100,-0.4600,0.0000,-0.8900,9.7600,1,1
1852,617,29187465,2.812,0.500,91.365,82.812,-0.229,0.177,-2.360,99629.79,34.93,-93.680,-94.383,-19.0917,-0.7000,-0.6000,9.3200,3.5625,2.6250,148.1875,30.0000,-0.3750,25.5625,0.1800,-0.1800,-0.3600,-0.2000,-0.8100,9.7700,1,1
1864,621,29308329,2.125,0.188,81.482,74.812,-0.470,-0.713,-1.302,99640.30,34.94,-93.742,-94.408,-19.0514,-0.0200,-0.5100,9.2700,0.9375,0.1250,66.5000,28.1875,-8.5625,25.5625,0.2900,0.2500,-0.4900,-0.3200,-0.7600,9.7700,1,1
1876,625,29428495,1.875,0.062,74.062,68.875,-0.040,0.517,2.845,99625.77,34.95,-93.704,-94.422,-19.1262,0.1900,-0.7700,9.3500,0.1875,-0.2500,58.3125,28.1875,-11.5000,25.5625,0.5600,-0.0300,-0.4100,-0.3700,-0.7400,9.7700,1,1
1888,629,29547570,1.250,-0.312,68.269,63.812,0.064,0.261,1.355,99628.79,34.93,-93.670,-94.437,-19.1635,-0.3300,-1.3300,9.3900,1.6250,2.5000,66.8750,27.7500,-14.0625,26.0625,1.0400,0.1500,-0.4700,-0.4700,-0.6700,9.7700,1,1
1900,633,29668596,0.688,-0.812,62.726,58.500,-0.010,0.043,-0.922,99631.37,34.94,-93.679,-94.462,-19.1052,-0.2200,-0.5600,9.3100,1.1250,1.4375,54.6875,25.1875,-15.5625,24.7500,0.3400,0.0300,-0.4500,-0.5700,-0.5900,9.7700,1,1
1910,636,29768434,0.562,-1.000,58.142,54.250,-0.425,-1.081,-2.750,99644.64,34.94,-93.769,-94.499,-19.1127,-0.2600,-0.7700,9.3200,-0.0625,0.6875,34.0000,24.3750,-18.5625,24.7500,0.4800,-0.2800,-0.4500,-0.5900,-0.5600,9.7700,1,1
1921,640,29878879,0.750,-1.062,54.291,51.688,-0.336,0.526,-1.222,99625.66,34.93,-93.837,-94.530,-19.0251,-0.3600,-0.1900,9.2300,0.3750,-3.9375,7.5625,21.7500,-19.5625,24.3750,0.2000,0.3500,-0.5400,-0.5600,-0.5400,9.7700,1,1
1933,644,29998219,1.000,-0.875,52.429,51.750,-0.213,0.593,1.570,99624.87,34.94,-93.838,-94.549,-19.1106,-0.1100,-0.6800,9.3200,-0.6875,-1.0000,2.2500,23.6875,-19.5625,25.1875,0.3900,-0.1800,-0.4400,-0.5100,-0.5700,9.7700,1,1
1945,648,30118853,1.312,-0.750,51.901,51.688,-0.419,-0.903,0.202,99642.54,34.94,-93.862,-94.574,-19.0943,-0.1300,-0.7600,9.3100,-0.0625,-0.0625,-0.0625,22.5625,-20.0000,25.5625,0.3200,-0.1500,-0.4600,-0.4600,-0.6000,9.7700,1,1
1957,652,30238480,1.562,-0.562,52.014,52.375,-0.595,-0.853,-2.476,99641.95,34.95,-93.955,-94.609,-19.0275,-0.0700,-0.9000,9.2500,-0.4375,-0.4375,-6.3750,23.6875,-18.8750,25.1875,0.3100,-0.1700,-0.3400,-0.4100,-0.6400,9.7700,1,1
1969,656,30359307,2.250,0.062,53.668,56.438,-0.503,0.761,-0.280,99622.88,34.93,-94.040,-94.639,-19.0456,-0.7500,-0.1200,9.2500,-0.5000,-0.1250,-60.8750,24.0000,-18.8750,24.7500,-0.4500,0.6100,-0.5100,-0.3000,-0.7400,9.7700,1,1
